"","list_baseline2","list_RIexpo","list_eventdependence","list_exposdist","Sim","sim_scenario_n","seed"
"1",0.01,0.5,"n","Early",1,1,3623811
"2",0.01,0.5,"n","Late",1,2,8140278
"3",0.01,0.5,"n","Uniform",1,3,330381
"4",0.01,0.5,"y","Early",1,4,5206284
"5",0.01,0.5,"y","Late",1,5,240991
"6",0.01,0.5,"y","Uniform",1,6,7662507
"7",0.01,1,"n","Early",1,7,5687837
"8",0.01,1,"n","Late",1,8,9818219
"9",0.01,1,"n","Uniform",1,9,4923904
"10",0.01,1,"y","Early",1,10,1039157
"11",0.01,1,"y","Late",1,11,2216771
"12",0.01,1,"y","Uniform",1,12,1067166
"13",0.01,2,"n","Early",1,13,8122003
"14",0.01,2,"n","Late",1,14,2290495
"15",0.01,2,"n","Uniform",1,15,5418689
"16",0.01,2,"y","Early",1,16,5814761
"17",0.01,2,"y","Late",1,17,971146
"18",0.01,2,"y","Uniform",1,18,7028892
"19",0.02,0.5,"n","Early",1,19,6964262
"20",0.02,0.5,"n","Late",1,20,1274663
"21",0.02,0.5,"n","Uniform",1,21,4038229
"22",0.02,0.5,"y","Early",1,22,7797303
"23",0.02,0.5,"y","Late",1,23,6235651
"24",0.02,0.5,"y","Uniform",1,24,7023019
"25",0.02,1,"n","Early",1,25,5180782
"26",0.02,1,"n","Late",1,26,234133
"27",0.02,1,"n","Uniform",1,27,8228014
"28",0.02,1,"y","Early",1,28,9212422
"29",0.02,1,"y","Late",1,29,613519
"30",0.02,1,"y","Uniform",1,30,1503143
"31",0.02,2,"n","Early",1,31,3220757
"32",0.02,2,"n","Late",1,32,830535
"33",0.02,2,"n","Uniform",1,33,942653
"34",0.02,2,"y","Early",1,34,8416348
"35",0.02,2,"y","Late",1,35,4369059
"36",0.02,2,"y","Uniform",1,36,2024879
"37",0.00136986301369863,2,"y","Seasonal",1,37,2022
"38",0.00136986301369863,0.5,"y","Seasonal",1,38,94
"39",0.00136986301369863,1,"y","Seasonal",1,39,165
